,City,Country,Temperature (F),Latitude,Longitude,Humidity(%),Cloudiness(%),WindSpeed (mph)
138,Anjad,IN,66.71,22.04,75.06,69,0,2.71
139,Thompson,CA,5,55.74,-97.86,71,75,8.05
140,Severo-Kurilsk,RU,38.05,50.68,156.12,100,92,12.66
141,Turiacu,BR,86.65,-5.01,-63,80,44,3.94
142,Wanning,AT,37.4,48.64,13.53,64,0,13.87
143,Muli,IN,63.7,22.62,71.45,51,0,2.59
144,Kaitangata,NZ,43.63,-46.28,169.85,79,32,7.63
145,Henties Bay,NA,66.71,-22.12,14.28,80,0,5.17
146,La Palma,CO,81.88,5.36,-74.39,61,36,1.59
147,Praia da Vitoria,PT,57.2,38.73,-27.07,67,20,20.83
148,Batagay-Alyta,RU,-36.79,67.8,130.41,0,0,2.59
149,Kattivakkam,IN,80.6,13.22,80.32,88,20,2.24
150,Tagusao,PH,77.2,9.19,117.81,100,36,3.04
151,Vestmannaeyjar,IS,48.2,63.44,-20.27,100,90,26.4
152,Kudahuvadhoo,MV,81.7,2.67,72.89,100,36,13.67
153,Kolpashevo,RU,-5.74,58.31,82.9,72,44,3.71
154,Khandbari,NP,29.59,27.38,87.21,68,0,1.36
155,Sunbury,US,43.2,40.86,-76.79,57,75,5.82
156,Sabya,YE,75.26,16.19,43.1,79,64,1.59
157,Arraial do Cabo,BR,82.4,-22.97,-42.02,65,40,10.29
158,Ojinaga,US,62.08,29.56,-104.41,22,0,4.16
159,Dubna,RU,34.27,56.76,37.14,93,92,16.24
160,Tessalit,ML,77.2,20.2,1.01,18,0,4.61
161,Bo Rai,TH,72.74,12.57,102.54,95,32,1.81
162,Ribeira Grande,PT,60.8,38.52,-28.7,55,40,10.29
163,Lerwick,GB,47.3,60.15,-1.15,87,44,23.04
164,Ternate,PH,78.8,14.29,120.72,83,20,12.44
165,Mount Gambier,AU,48.67,-37.83,140.78,83,0,4.94
166,Burnie,AU,56.86,-41.05,145.91,100,0,8.75
167,Namibe,AO,74.77,-15.19,12.15,100,0,5.95
168,Palmer,US,31.69,61.6,-149.11,78,90,2.26
169,Aklavik,CA,-3.45,68.22,-135.01,83,75,9.17
170,Hasaki,JP,48.2,35.73,140.83,87,20,1.12
171,Yuanlin,TW,69.8,23.96,120.57,88,75,5.82
172,Buala,SB,80.08,-8.15,159.59,97,100,4.05
173,Great Yarmouth,GB,42.8,52.61,1.73,93,0,8.05
174,Sorong,ID,78.14,-0.86,131.25,100,76,7.74
175,Beckley,US,47.71,37.78,-81.19,62,1,3.36
176,Saint-Denis,FR,41.5,48.94,2.36,75,0,6.93
177,Buzmeyin,TM,48.2,38.05,58.21,57,75,4.7
178,Abay,KZ,19.4,49.63,72.87,79,75,8.95
179,Ixtapa,MX,87.8,20.71,-105.21,35,75,9.17
180,Sitka,US,39.85,37.17,-99.65,59,92,22.06
181,Beyneu,KZ,10.91,45.32,55.19,67,8,3.71
182,Mahebourg,MU,73.4,-20.41,57.7,83,75,5.82
183,Esso,RU,-6.42,55.93,158.7,64,24,1.48
184,Viedma,AR,62.03,-40.81,-62.99,50,68,21.61
185,Komsomolskiy,RU,20.23,67.55,63.78,86,92,14.12
186,Filingue,NE,81.83,14.35,3.32,30,8,5.61
187,Coquimbo,CL,69.8,-29.95,-71.34,56,0,16.11
188,Nikolskoye,RU,44.6,59.7,30.79,75,90,22.37
189,Souillac,FR,45.39,45.6,-0.6,81,90,11.41
190,Dzhebariki-Khaya,RU,-0.66,62.22,135.8,77,76,2.59
191,Chokurdakh,RU,-10.87,70.62,147.9,74,48,3.6
192,Agadir,MA,66.2,30.42,-9.58,59,0,8.05
193,Tiksi,RU,-7.68,71.64,128.87,62,0,7.96
194,Victoria,BN,75.2,5.28,115.24,94,75,4.94
195,Hithadhoo,MV,81.56,-0.6,73.08,100,0,10.76
196,Clyde River,CA,-14.81,70.47,-68.59,75,75,6.93
197,Nhulunbuy,AU,73.4,-12.18,136.78,88,0,3.6
198,Socha,CO,58.3,6,-72.69,91,88,2.37
199,Klaksvik,FO,48.2,62.23,-6.59,87,0,16.11
200,Jalu,LY,67.43,29.03,21.55,26,20,12.33
201,Lasa,CY,64.4,34.92,32.53,63,20,11.41
202,Codrington,AU,61.36,-28.95,153.24,100,92,5.95
203,Mathbaria,BD,71.71,22.29,89.96,94,0,5.17
204,Dayong,PH,79.63,11.74,122.04,100,92,15.01
205,San Quintin,PH,77,17.54,120.52,94,20,2.24
206,Mamakan,RU,-7.54,57.82,114.02,57,56,2.26
207,Lucea,JM,84.2,18.44,-78.17,74,20,17.22
208,Lorengau,PG,82.01,-2.02,147.27,100,24,7.74
209,Nexo,DK,33.8,55.06,15.13,100,8,3.36
210,Magadan,RU,-7.61,59.56,150.8,83,75,25.52
211,Cayenne,GF,87.8,4.94,-52.33,62,0,13.87
212,Zhireken,RU,1.06,52.82,117.29,56,44,4.72
213,Saskylakh,RU,-7.23,71.97,114.09,61,56,8.97
214,Kavaratti,IN,80.66,10.57,72.64,100,80,14.79
215,Sinnar,IN,60.86,19.85,74,67,0,2.26
216,Alofi,NU,75.2,-19.06,-169.92,83,0,6.93
217,Lebanon,US,40.89,43.64,-72.25,46,90,11.41
218,Springdale,US,65.71,36.19,-94.13,29,1,11.41
219,Faanui,PF,81.43,-16.48,-151.75,100,80,14
220,Komatsushima,JP,50.38,34.01,134.59,100,0,6.17
221,Mount Isa,AU,80.6,-20.73,139.49,54,75,2.24
222,Klyuchi,RU,22.61,52.25,79.17,86,80,10.98
223,Kavieng,PG,81.7,-2.57,150.8,100,48,4.72
224,Maniitsoq,GL,24.82,65.42,-52.9,94,80,23.06
225,Gobabis,NA,83.81,-22.45,18.97,18,80,8.97
226,Colares,PT,61.83,38.8,-9.45,87,20,9.17
227,Pangnirtung,CA,-0.41,66.15,-65.72,70,20,2.24
228,Takoradi,GH,83.32,4.89,-1.75,96,24,7.52
229,Asyut,EG,53.93,27.18,31.19,83,8,2.82
230,Yar-Sale,RU,21.89,66.83,70.83,100,92,16.8
231,Bukachacha,RU,1.06,52.99,116.91,56,44,4.72
232,Mehamn,NO,34.04,71.03,27.85,85,8,11.54
233,Chara,GR,48.2,39.42,22.43,87,75,3.36
234,Palmares do Sul,BR,82.4,-30.26,-50.51,54,20,10.29
235,Palencia,ES,50,42.01,-4.53,76,0,5.82
236,Batticaloa,LK,77.47,7.71,81.69,100,56,4.72
237,Craig,US,36.59,40.52,-107.55,87,90,6.93
238,Sarangani,PH,81.43,5.4,125.46,100,44,6.29
239,Tazovskiy,RU,19.87,67.47,78.7,89,92,9.86
240,Bahia Blanca,AR,64.15,-38.72,-62.27,75,48,23.29
241,New Glasgow,CA,35.53,45.59,-62.65,85,56,11.99
242,Celestun,MX,77.24,20.87,-90.4,100,8,11.99
243,Quballat,TN,59,36.54,9.66,77,40,3.36
244,Gizo,IL,66.27,31.8,34.94,82,0,2.24
245,Cabo San Lucas,MX,78.89,22.89,-109.91,50,40,11.41
246,La Ronge,CA,6.8,55.1,-105.3,77,75,12.75
247,Lebu,ET,53.53,8.96,38.73,78,12,6.4
248,Flinders,AU,51.8,-34.58,150.85,100,0,4.7
249,Baiyin,CN,19.4,36.55,104.13,92,80,2.24
250,Nanortalik,GL,32.29,60.14,-45.24,94,56,34.81
251,Araouane,ML,84.26,18.9,-3.53,21,48,3.38
252,Constitucion,MX,60.8,23.99,-104.67,29,90,5.82
253,La Baule-Escoublac,FR,41,47.28,-2.4,86,90,17.22
254,Kodiak,US,37.04,39.95,-94.76,85,90,23.04
255,Vargem Grande,BR,79.32,-23.71,-46.2,69,75,11.41
256,Kindia,GN,78.14,10.05,-12.86,87,56,2.82
257,Makakilo City,US,74.17,21.35,-158.09,88,75,8.05
258,Taltal,CL,70.94,-25.41,-70.49,71,0,4.05
259,Urengoy,RU,16,65.96,78.37,84,88,14.67
260,Rivera,UY,68.56,-30.9,-55.54,100,92,8.41
261,San Felipe,CL,71.6,-32.75,-70.73,40,40,16.11
262,Eureka,US,47.53,40.8,-124.16,100,90,3.94
263,Sibu,MY,77,2.29,111.83,100,75,2.24
264,Deputatskiy,RU,-19.92,69.3,139.9,27,20,2.59
265,Galle,US,70.29,29.74,-97.91,60,1,9.17
266,Pevek,RU,3.85,69.7,170.27,100,56,6.62
267,Petropavlovsk-Kamchatskiy,RU,26.6,53.05,158.65,86,75,8.95
268,Fereydun Kenar,IR,51.23,36.69,52.52,93,0,2.48
269,Udachnyy,RU,-22.21,66.42,112.4,31,24,2.48
270,Sambava,MG,78.59,-14.27,50.17,100,100,15.79
271,Alta Floresta,BR,82.33,-9.87,-56.08,91,24,2.04
272,Tuatapere,NZ,46.78,-46.13,167.69,100,24,17.47
273,Galati,RO,33.8,45.45,28.05,80,0,12.75
274,Hervey Bay,AU,69.91,-25.3,152.85,100,92,5.61
275,Saint George,GR,48.2,39.45,22.34,87,75,3.36
276,Anadyr,RU,10.4,64.73,177.51,85,90,15.66
277,Nemuro,JP,42.19,43.32,145.57,100,0,15.57
278,Pokhara,NP,39.94,28.21,83.99,82,0,1.81
279,Gao,ML,83.59,16.28,-0.04,20,0,3.15
280,Lake City,US,36.95,38.03,-107.32,20,1,9.17
281,Erice,IT,58.08,38.04,12.59,62,40,12.75
282,Plouzane,FR,46.36,48.38,-4.62,93,90,12.75
283,Springbok,ZA,76.57,-29.67,17.88,18,0,7.4
284,Sandpoint,US,33.93,48.28,-116.55,55,1,10.29
285,Kirishi,RU,39.22,59.45,32.01,89,32,7.96
286,Arman,RU,-7.61,59.7,150.17,83,75,4.27
287,Peniche,PT,62.85,39.36,-9.38,87,20,9.17
288,Haines Junction,CA,10.46,60.75,-137.51,88,44,2.26
289,Bajah,YE,58.66,13.81,44.63,89,68,0.69
290,Sao Joao da Barra,BR,82.4,-21.64,-41.05,58,40,6.93
291,Norman Wells,CA,3.2,65.28,-126.83,84,75,13.87
292,Acapulco,MX,87.8,16.86,-99.88,62,5,3.36
293,Katsuura,JP,50.38,33.93,134.5,100,0,6.17
294,Umea,SE,42.8,63.83,20.26,70,0,13.87
295,Poum,MK,31.12,41.28,20.71,96,92,1.92
296,Ode,NG,79.72,7.79,5.71,84,8,3.04
297,Pisco,PE,71.6,-13.71,-76.2,30,0,10.29
298,Mecca,SA,68.33,21.43,39.83,71,0,2.93
299,Verkhnevilyuysk,RU,-11.28,63.45,120.31,75,8,5.61
300,Mantua,IT,43.32,45.16,10.79,75,0,4.7
301,Khani,GE,46.4,41.96,42.96,93,75,4.7
302,Kapit,MY,71.44,2.02,112.94,98,92,2.37
303,Mao,DO,89.6,19.55,-71.08,66,20,11.41
304,Port Macquarie,AU,60.8,-31.43,152.91,100,75,5.82
305,Port Pirie,AU,55.4,-33.18,138.01,76,0,6.93
306,Madimba,CM,82.4,4.42,9.93,88,40,2.24
307,Nabire,ID,67.3,-3.36,135.5,90,80,2.37
308,Nogliki,RU,24.86,51.8,143.14,100,76,14.79
309,Baft,IR,32.51,29.23,56.61,75,0,2.48
310,Narsaq,GL,28.4,60.91,-46.05,86,75,1.36
311,Kimbe,PG,76.3,-5.56,150.15,100,92,5.17
312,Sinnamary,GF,78.59,5.38,-52.96,100,56,8.41
313,Half Moon Bay,US,53.92,37.46,-122.43,81,40,3.36
314,Jumla,NP,14.51,29.28,82.18,82,0,1.81
315,Craigieburn,AU,51.21,-37.6,144.94,93,75,8.05
316,Wanaka,NZ,39.08,-44.7,169.14,98,8,2.26
317,High Level,CA,-5.81,58.52,-117.13,91,90,2.24
318,Roebourne,AU,87.64,-20.77,117.15,22,0,17.13
319,Monrovia,LR,80.6,6.33,-10.8,94,75,8.97
320,Vostok,RU,5.78,46.45,135.83,70,24,2.37
321,Nieuw Amsterdam,SR,90.59,5.88,-55.08,62,40,13.87
322,Tiarei,PF,84.2,-17.53,-149.33,70,40,9.17
323,Hami,CN,18.79,42.84,93.51,70,48,5.39
324,Polyarnyy,RU,35.6,69.2,33.45,90,75,13.42
325,Imbituba,BR,78.8,-28.24,-48.67,50,20,20.8
326,Bayonet Point,US,71.01,28.33,-82.68,46,1,8.3
327,Nome,US,69.33,30.04,-94.42,58,75,8.05
328,Awjilah,LY,68.65,29.14,21.3,25,12,12.21
329,Banes,CU,86,20.96,-75.72,62,75,8.05
330,Saint Anthony,US,30.69,43.97,-111.68,74,90,3.36
331,Saravan,AM,46.4,39.72,45.65,61,40,4.7
332,Terney,RU,31.03,45.05,136.61,100,8,14.79
333,Santana do Acarau,BR,97.54,-3.46,-40.21,33,0,11.54
334,Tongliao,CN,14.69,43.61,122.27,60,0,2.93
335,Dragodana,RO,33.8,44.73,25.37,80,0,14.99
336,Mumford,GH,83.18,5.26,-0.76,74,20,8.86
337,Arlit,NE,74.09,18.74,7.39,23,12,3.94
338,Dumas,IN,83.41,21.09,72.71,99,0,11.1
339,Bud,NO,47.59,62.91,6.91,93,75,8.05
340,Davila,PH,77,18.47,120.58,94,20,2.24
341,Cururupu,BR,91.28,-1.82,-44.87,52,0,13
342,Bandarbeyla,SO,78.59,9.49,50.81,100,64,10.98
343,Dubti,ET,76.93,11.74,41.09,46,68,2.71
344,Yulara,AU,60.8,-25.24,130.99,67,0,8.05
345,Ayorou,NE,81.97,14.73,0.92,23,0,2.93
346,Kasongo-Lunda,CD,74.05,-6.48,16.82,86,80,1.7
347,Camacha,PT,63.63,33.08,-16.33,67,20,17.22
348,Cockburn Town,TC,81.16,21.46,-71.14,100,80,12.77
349,Sioux Lookout,CA,6.8,50.1,-91.92,65,40,6.93
350,Kavali,IN,76.16,14.91,79.99,95,76,2.93
351,Bannu,PK,63.43,32.99,70.6,72,88,2.71
352,Preobrazheniye,RU,11.14,42.9,133.91,68,20,1.92
353,Srivardhan,IN,72.74,18.03,73.02,88,0,0.13
354,Vao,EE,41.33,59.1,26.19,90,0,10.65
355,Meulaboh,ID,79.36,4.14,96.13,100,100,5.17
356,Luanda,AO,80.6,-8.83,13.24,78,40,5.82
357,Grand Gaube,MU,73.4,-20.01,57.66,83,75,5.82
358,Havoysund,NO,37.4,71,24.66,86,80,14.99
359,Belmonte,PT,55.64,40.36,-7.35,83,92,11.43
360,Goderich,CA,36.07,43.74,-81.71,94,88,13.33
361,Lamas,PE,62.6,-6.42,-76.52,290,40,3.36
362,Roald,NO,47.55,62.58,6.12,93,20,3.36
363,Palmeiras de Goias,BR,74.86,-16.8,-49.93,99,92,5.61
364,Hagere Hiywet,ET,54.34,8.98,37.85,89,76,1.36
365,Tocache,PE,67.03,-8.19,-76.51,92,76,2.04
366,Dickinson,US,12.02,46.88,-102.79,76,90,12.75
367,Kenai,US,34.05,60.55,-151.26,92,90,6.93
368,Gamboma,CG,78.73,-1.87,15.88,87,56,3.15
369,Xinqing,CN,6.86,48.28,129.53,75,56,2.93
370,Namatanai,PG,76.61,-3.66,152.44,100,88,6.62
371,Talara,PE,62.6,-4.58,-81.27,290,0,16.11
372,Salinopolis,BR,85.12,-0.61,-47.36,86,24,16.13
373,Ugoofaaru,MV,84.26,5.67,73,98,100,9.19
374,Saldanha,PT,52.13,41.42,-6.55,75,64,4.94
375,Yueyang,CN,47.18,29.36,113.12,100,100,9.64
376,Moree,AU,66.85,-29.46,149.84,68,0,12.1
377,Soyo,AO,80.17,-6.13,12.37,75,56,6.29
378,Brae,GB,47.43,60.4,-1.35,87,44,23.04
379,Bang Saphan,TH,78.68,11.21,99.51,95,32,3.04
380,Nizhniy Baskunchak,RU,33.23,48.22,46.83,52,92,9.75
381,Marfino,RU,32,56.07,37.56,87,90,13.42
382,Entebbe,UG,71.6,0.06,32.45,88,20,6.93
383,Longyearbyen,NO,32,78.22,15.63,100,75,24.16
384,Adwa,ET,58.16,14.16,38.9,97,12,2.04
385,Tottori,JP,35.35,35.5,134.23,100,24,2.37
386,Koumac,NC,68.74,-20.56,164.28,98,24,4.83
387,Lypova Dolyna,UA,20.14,50.56,33.8,80,0,3.38
388,Itarema,BR,92.63,-2.92,-39.92,46,0,19.15
389,Humaita,AR,87.8,-24.93,-65.37,38,75,6.93
390,La Romana,DO,84.2,18.43,-68.97,74,40,13.87
391,Belomorsk,RU,40.12,64.52,34.76,95,92,14.67
392,Sao Sepe,BR,68,-30.16,-53.57,94,75,9.17
393,Borba,PT,62.6,38.81,-7.46,72,0,8.05
394,Medicine Hat,CA,19.4,50.04,-110.68,62,20,10.29
395,Northam,GB,45.64,51.04,-4.21,81,0,8.05
396,Matadi,CD,80.35,-5.83,13.46,78,76,6.4
397,Lakselv,NO,38.57,70.05,24.96,100,88,19.46
398,Neman,US,62.96,32.58,-85.98,56,1,3.36
399,Puerto del Rosario,ES,68,28.5,-13.86,88,75,6.93
400,Buerarema,BR,84.2,-14.96,-39.3,74,20,9.17
401,Kulob,TJ,40.16,37.91,69.78,90,92,2.48
402,Pochutla,MX,86.43,15.74,-96.47,59,40,5.95
403,Eden,CA,6.8,50.38,-99.47,65,20,17.22
404,Coos Bay,US,51.08,43.37,-124.22,92,1,5.82
405,Bracebridge,CA,26.6,45.04,-79.31,68,90,13.87
406,Lompoc,US,59.72,34.64,-120.46,69,1,3.49
407,Tual,ID,82.46,-5.67,132.75,100,80,2.93
408,Kailua,US,74.1,21.39,-157.74,71,40,13.87
409,Talnakh,RU,6.68,69.49,88.39,86,76,16.46
410,Los Llanos de Aridane,ES,73.4,28.66,-17.92,53,40,2.24
411,Kichera,RU,-6.19,55.93,110.1,100,44,3.38
412,Yelizovo,RU,26.6,53.19,158.38,86,75,8.95
413,Chapais,CA,19.4,49.78,-74.86,73,90,16.11
414,Wanlaweyn,SO,76.43,2.62,44.89,93,92,4.94
415,Peace River,CA,1.4,56.23,-117.29,77,40,4.7
416,Bani,PH,76.39,15.89,120.27,98,8,2.37
417,Svolvaer,NO,35.6,68.23,14.57,93,40,6.93
418,Chaozhou,CN,69.8,23.66,116.62,83,75,4.47
419,Dawson Creek,CA,7.25,55.76,-120.23,92,1,3.38
420,Mittersill,AT,32.22,47.28,12.48,86,0,5.82
421,Pontian Kecil,MY,79.29,1.48,103.39,94,75,1.12
422,Warrington,GB,45.3,53.39,-2.59,81,0,6.93
423,San Vicente,SV,85.1,13.64,-88.78,54,0,16.11
424,Kamina,CD,73.78,-8.74,25,84,56,0.92
425,Ketchikan,US,42.39,55.34,-131.65,92,90,17.22
426,Opochka,RU,37.46,56.71,28.66,93,92,15.01
427,Axim,GH,83.63,4.87,-2.24,98,64,9.64
428,Sabang,PH,78.19,13.72,123.58,98,92,7.63
429,Maldonado,UY,78.8,-34.91,-54.96,65,75,12.75
430,Ha Tinh,VN,80.08,18.33,105.9,100,48,11.88
431,Gat,SN,84.2,14.69,-16.54,39,0,6.93
432,Potsdam,DE,33.76,52.4,13.06,69,0,5.82
433,Avera,US,61.03,33.19,-82.53,51,1,4.7
434,Elizabeth City,US,52.92,36.3,-76.22,67,40,6.51
435,Hiroshima,JP,53.96,34.39,132.45,74,20,6.93
